benchmark,solver,score
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node11126.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.019335
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node11126.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node11126.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node11126.smt2,vampire-4.4-smtcomp-wrapped-sq,0.321485
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node11126.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0386459
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node52405.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0212461
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node52405.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node52405.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node52405.smt2,vampire-4.4-smtcomp-wrapped-sq,0.166566
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node52405.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0528641
benchmarks/smt-lib/non-incremental/NRA/keymaera/dccs-example-node3895.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/dccs-example-node3895.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/dccs-example-node3895.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
