benchmark,solver,score
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc10.smt2,Bitwuzla,0.464109
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc10.smt2,Yices 2.6.2 for SMTCOMP2020,2.45567
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc10.smt2,MathSAT5,10.6495
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc25.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc25.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc25.smt2,Bitwuzla,8.2449
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc25.smt2,Yices 2.6.2 for SMTCOMP2020,532.711
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc25.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc30.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc30.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc30.smt2,Bitwuzla,16.165
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc30.smt2,Yices 2.6.2 for SMTCOMP2020,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc30.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-30-compact-nomem.smt2,CVC4-sq-final,871.793
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-30-compact-nomem.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-30-compact-nomem.smt2,Bitwuzla,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-30-compact-nomem.smt2,Yices 2.6.2 for SMTCOMP2020,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-30-compact-nomem.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-pcregs-compact-nomem.smt2,CVC4-sq-final,628.422
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-pcregs-compact-nomem.smt2,z3-4.8.8,850.216
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-pcregs-compact-nomem.smt2,Bitwuzla,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-pcregs-compact-nomem.smt2,Yices 2.6.2 for SMTCOMP2020,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-pcregs-compact-nomem.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-check-compact-nomem.smt2,CVC4-sq-final,324.601
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-check-compact-nomem.smt2,z3-4.8.8,19.1634
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-check-compact-nomem.smt2,Bitwuzla,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-check-compact-nomem.smt2,Yices 2.6.2 for SMTCOMP2020,1.75361
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-check-compact-nomem.smt2,MathSAT5,160.653
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-sat-compact-nomem.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-sat-compact-nomem.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-sat-compact-nomem.smt2,Bitwuzla,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-sat-compact-nomem.smt2,Yices 2.6.2 for SMTCOMP2020,185.499
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-sat-compact-nomem.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-pfcache-compact-nomem.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-pfcache-compact-nomem.smt2,z3-4.8.8,209.516
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-pfcache-compact-nomem.smt2,Bitwuzla,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-pfcache-compact-nomem.smt2,Yices 2.6.2 for SMTCOMP2020,2.99487
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-pfcache-compact-nomem.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-20-compact-nomem.smt2,CVC4-sq-final,386.164
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-20-compact-nomem.smt2,z3-4.8.8,862.229
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-20-compact-nomem.smt2,Bitwuzla,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-20-compact-nomem.smt2,Yices 2.6.2 for SMTCOMP2020,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-20-compact-nomem.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-zipmmu-compact-nomem.smt2,CVC4-sq-final,57.5634
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-zipmmu-compact-nomem.smt2,z3-4.8.8,38.4447
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-zipmmu-compact-nomem.smt2,Bitwuzla,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-zipmmu-compact-nomem.smt2,Yices 2.6.2 for SMTCOMP2020,3.48764
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-zipmmu-compact-nomem.smt2,MathSAT5,117.473
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-nomem.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-nomem.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-nomem.smt2,Bitwuzla,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-nomem.smt2,Yices 2.6.2 for SMTCOMP2020,87.5702
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-nomem.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-15-compact-nomem.smt2,CVC4-sq-final,111.732
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-15-compact-nomem.smt2,z3-4.8.8,65.5547
benchmarks/smt-lib/non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-15-compact-nomem.smt2,Bitwuzla,4800
